Expiry,Strike,Volatility,,,,
2024-07-26,560,71.12001185,,,,
2024-07-26,580,67.25220671,,,,
2024-07-26,600,63.56327721,,,,
2024-07-26,620,60.05013779,,,,
2024-07-26,640,56.70970291,,,,
2024-07-26,660,53.53888701,,,,
2024-07-26,680,50.53460453,,,,
2024-07-26,700,47.69376992,,,,
2024-07-26,720,45.01329762,,,,
2024-07-26,740,42.49010208,,,,
2024-07-26,760,40.12109774,,,,
2024-07-26,780,37.90319904,,,,
2024-07-26,800,35.83332044,,,,
2024-07-26,820,33.90837637,,,,
2024-07-26,840,32.12528129,,,,
2024-07-26,860,30.48094963,,,,
2024-07-26,870,29.70985585,,,,
2024-07-26,880,28.97229584,,,,
2024-07-26,890,28.26788391,,,,
2024-07-26,900,27.59623437,,,,
2024-07-26,910,26.95696151,,,,
2024-07-26,920,26.34967966,,,,
2024-07-26,930,25.7740031,,,,
2024-07-26,940,25.22954615,,,,
2024-07-26,950,24.71592311,,,,
2024-07-26,960,24.23274829,,,,
2024-07-26,970,23.77963599,,,,
2024-07-26,980,23.35620053,,,,
2024-07-26,990,22.96205619,,,,
2024-07-26,1000,22.5968173,,,,
2024-07-26,1010,22.26004918,,,,
2024-07-26,1020,21.95112122,,,,
2024-07-26,1030,21.66935386,,,,
2024-07-26,1040,21.41406751,,,,
2024-07-26,1050,21.18458261,,,,
2024-07-26,1060,20.98021958,,,,
2024-07-26,1070,20.80029883,,,,
2024-07-26,1080,20.6441408,,,,
2024-07-26,1090,20.51106591,,,,
2024-07-26,1100,20.40039459,,,,
2024-07-26,1110,20.31144725,,,,
2024-07-26,1120,20.24354432,,,,
2024-07-26,1130,20.19600622,,,,
2024-07-26,1140,20.16815339,,,,
2024-07-26,1150,20.15930623,,,,
2024-07-26,1160,20.16878519,,,,
2024-07-26,1170,20.19591068,,,,
2024-07-26,1180,20.24000312,,,,
2024-07-26,1190,20.30038294,,,,
2024-07-26,1200,20.37637057,,,,
2024-07-26,1210,20.46728642,,,,
2024-07-26,1220,20.57245093,,,,
2024-07-26,1230,20.69118451,,,,
2024-07-26,1240,20.82280759,,,,
2024-07-26,1250,20.9666406,,,,
2024-07-26,1260,21.12200396,,,,
2024-07-26,1270,21.28821808,,,,
2024-07-26,1280,21.46460341,,,,
2024-07-26,1290,21.65048035,,,,
2024-07-26,1300,21.84525749,,,,
2024-07-26,1310,22.048696,,,,
2024-07-26,1320,22.26064518,,,,
2024-07-26,1330,22.48095436,,,,
2024-07-26,1340,22.70947286,,,,
2024-07-26,1350,22.94604999,,,,
2024-07-26,1360,23.19053508,,,,
2024-07-26,1370,23.44277744,,,,
2024-07-26,1380,23.70262639,,,,
2024-07-26,1390,23.96993124,,,,
2024-07-26,1400,24.24454132,,,,
2024-07-26,1410,24.52630595,,,,
2024-07-26,1420,24.81507443,,,,
2024-07-26,1430,25.11069609,,,,
2024-07-26,1440,25.41302026,,,,
2024-07-26,1450,25.72189623,,,,
2024-07-26,1460,26.03717335,,,,
2024-07-26,1470,26.35870091,,,,
2024-07-26,1480,26.68632824,,,,
2024-07-26,1490,27.01990466,,,,
2024-07-26,1500,27.35927949,,,,
2024-07-26,1510,27.70430204,,,,
2024-07-26,1520,28.05482163,,,,
2024-07-26,1530,28.41068758,,,,
2024-07-26,1540,28.77174922,,,,
2024-07-26,1550,29.13785584,,,,
2024-07-26,1560,29.50885678,,,,
2024-07-26,1580,30.26493888,,,,
2024-07-26,1600,31.03879005,,,,
2024-07-26,1620,31.82920484,,,,
2024-07-26,1640,32.63497779,,,,
2024-07-26,1660,33.45490344,,,,
2024-07-26,1680,34.28777635,,,,
2024-07-26,1700,35.13239106,,,,
2024-07-26,1720,35.9875421,,,,
2024-07-26,1740,36.85202403,,,,
2024-07-26,1760,37.72463138,,,,
2024-07-26,1780,38.60415871,,,,
2024-07-26,1800,39.48940056,,,,
2024-07-26,1820,40.37915147,,,,
2024-07-26,1840,41.27220599,,,,
2024-07-26,1860,42.16735866,,,,
2024-07-26,1880,43.06340402,,,,
2024-07-26,1900,43.95913662,,,,
2024-07-26,1920,44.85335101,,,,
2024-07-26,1940,45.74484172,,,,
2024-07-26,1960,46.63240331,,,,
2024-07-26,1980,47.51483032,,,,
2024-07-26,2000,48.39091728,,,,
2024-07-26,2020,49.25945876,,,,
2024-07-26,2040,50.11924928,,,,
2024-07-26,2060,50.9690834,,,,
2024-07-26,2080,51.80775566,,,,
2024-07-26,2100,52.63406061,,,,
2024-07-26,2120,53.44679278,,,,
2024-07-26,2300,59.95170744,,,,
2024-07-26,2400,62.72484706,,,,
2024-07-26,2500,64.70662155,,,,
